,SYMBOL_A,UNIPROT_AC_A,INTERACTION_TYPE,SYMBOL_B,UNIPROT_AC_B,SOURCE
273,ISG15,P05161,physical,LMNA,P02545,BIOGRID
274,FBXO11,Q86XK2,physical,SKP1,P63208,BIOGRID
275,ATM,A0A024R3C7,physical,BRCA2,P51587,BIOGRID
276,PRODH,O43272,physical,TUBA4A,P68366,BIOGRID
277,USP11,B4DGK3,physical,BRCA2,P51587,BIOGRID
278,MARCKSL1,P49006,physical,BCCIP,Q9P287,BIOGRID
279,FASLG,P48023,physical,TRIP6,Q15654,BIOGRID
280,AI837181,E9QNR6,physical,CALR,P27797,BIOGRID
281,SORT1,Q99523,physical,SLC25A25,Q6KCM7,BIOGRID
282,CDK2,A0A024RB10,physical,SKP1,P63208,BIOGRID
283,CHD4,F5GWX5,physical,RBBP4,Q09028,BIOGRID
284,LMNA,P02545,physical,RBBP4,Q09028,BIOGRID
285,BRCA2,P51587,physical,RAD51,Q06609,BIOGRID
286,Itsn2,B2RR82,physical,BCCIP,Q9P287,BIOGRID
288,MAP2K4,P45985,physical,MAP3K1,Q13233,BIOGRID
289,FAS,K9J972,physical,SQSTM1,Q13501,BIOGRID
292,CYP1A1,A0N0X8,physical,EIF2AK2,P19525,BIOGRID
293,IL12RB1,P42701,physical,TUBA4A,P68366,BIOGRID
294,STAT3,P40763,physical,SULT2A1,A8K015,BIOGRID
295,MAP2K4,P45985,physical,MAPK10,A0A1P0B7D2,BIOGRID
296,STAT3,P40763,physical,NCOA1,Q15788,BIOGRID
298,RAP2A,P10114,physical,RUNDC3A,Q59EK9,BIOGRID
299,JAK3,A0A024R7M7,physical,TUBA4A,P68366,BIOGRID
300,S1PR1,P21453,physical,RAP2A,P10114,BIOGRID
301,IL2RB,P14784,physical,STAT3,P40763,BIOGRID
302,FBXW11,B4DH70,physical,SKP1,P63208,BIOGRID
303,ABCB1,A4D1D2,physical,BCCIP,Q9P287,BIOGRID
306,NDUFA13,Q9P0J0,physical,NDUFS7,F5H5N1,BIOGRID
307,Fbxw11,Q5SRY7,physical,SKP1,P63208,BIOGRID
310,SPI1,P17947,physical,SIN3A,Q96ST3,BIOGRID
311,ITGAV,P06756,physical,STAT1,P42224,BIOGRID
312,UBE3D,Q4G0J6,physical,TUBA4A,P68366,BIOGRID
313,RTF1,Q92541,physical,STAT1,P42224,BIOGRID
316,FBXO6,Q9NRD1,physical,RBBP4,Q09028,BIOGRID
317,Apbb1,P46933,physical,ENAH,Q8N8S7,BIOGRID
318,HDAC2,Q92769,physical,RBBP4,Q09028,BIOGRID
319,KEAP1,A0A024R7C0,physical,SQSTM1,Q13501,BIOGRID
322,IFNA5,P01569,physical,IFIT3,O14879,BIOGRID
323,TK1,K7ES52,physical,RBBP4,Q09028,BIOGRID
324,CASP8,A0A024R3Z8,physical,SQSTM1,Q13501,BIOGRID
325,PLA2G10,O15496,physical,TUBA4A,P68366,BIOGRID
328,FASLG,P48023,physical,LYN,A8K379,BIOGRID
329,RBBP4,Q09028,physical,NR2C2,F2YGU2,BIOGRID
330,SORT1,Q99523,physical,XIAP,B2R9R2,BIOGRID
331,AUP1,Q9Y679,physical,ITGAV,P06756,BIOGRID
332,IVNS1ABP,Q9Y6Y0,physical,STAT3,P40763,BIOGRID
333,SIRT7,Q9NRC8,physical,RBBP4,Q09028,BIOGRID
334,SQSTM1,Q13501,physical,DIP2B,Q7Z3H2,BIOGRID
335,HJURP,Q8NCD3,physical,RBBP4,Q09028,BIOGRID
336,LMNA,P02545,physical,EMD,P50402,BIOGRID
337,UBC,P0CG48,physical,SKP1,P63208,BIOGRID
338,SP3,B7ZLN9,physical,RBBP4,Q09028,BIOGRID
340,CCNG2,A0A024RDC7,physical,SKP1,P63208,BIOGRID
341,SVIL,O95425,physical,LMNA,P02545,BIOGRID
342,SORT1,Q99523,physical,KRT75,O95678,BIOGRID
343,PCGF1,Q9BSM1,physical,SKP1,P63208,BIOGRID
344,NDUFA13,Q9P0J0,physical,UBE3A,Q05086,BIOGRID
345,PRG2,P13727,physical,TUBA4A,P68366,BIOGRID
346,ZFPM2,Q8WW38,physical,RBBP4,Q09028,BIOGRID
347,NEDD8,Q15843,physical,SKP1,P63208,BIOGRID
349,SPI1,P17947,physical,RARA,A8K840,BIOGRID
351,PEPD,A0A140VJR2,physical,BCCIP,Q9P287,BIOGRID
352,CCNF,P41002,physical,SKP1,P63208,BIOGRID
353,FASLG,P48023,physical,PPIAP11,,BIOGRID
354,IL20RA,Q9UHF4,physical,STAT3,P40763,BIOGRID
355,GABARAPL1,A0A024RAP5,physical,SQSTM1,Q13501,BIOGRID
357,IFIT3,O14879,physical,SNRPE,P62304,BIOGRID
358,RBL2,Q08999,physical,SKP1,P63208,BIOGRID
360,Lgals3bp,Q07797,physical,SKP1,P63208,BIOGRID
361,SORT1,Q99523,physical,LEMD2,A0A024RCZ1,BIOGRID
363,SQSTM1,Q13501,physical,RELN,P78509,BIOGRID
368,TMEM25,A0A024R3G8,physical,TUBA4A,P68366,BIOGRID
369,FHOD3,Q2V2M9,physical,SQSTM1,Q13501,BIOGRID
370,HSP90B1,P14625,physical,CALR,P27797,BIOGRID
371,XPO1,B3KWD0,physical,ENAH,Q8N8S7,BIOGRID
372,FBXO6,Q9NRD1,physical,SKP1,P63208,BIOGRID
373,BRCA2,P51587,physical,MCPH1,Q8NEM0,BIOGRID
374,SQSTM1,Q13501,physical,CUL2,A0A0A0MTN0,BIOGRID
375,ITGAV,P06756,physical,NCOR1,A0A024RD47,BIOGRID
376,NTRK1,P04629,physical,RBBP4,Q09028,BIOGRID
377,LMNA,P02545,physical,TRIM28,Q13263,BIOGRID
380,FBXW4,P57775,physical,SKP1,P63208,BIOGRID
381,UCHL5,Q9Y5K5,physical,TUBA4A,P68366,BIOGRID
382,STAT1,P42224,physical,STAT2,P52630,BIOGRID
383,FUS,P35637,physical,LMNA,P02545,BIOGRID
385,BRCA2,P51587,physical,FLNA,P21333,BIOGRID
386,PIAS1,O75925,physical,STAT1,P42224,BIOGRID
387,IL6R,A0A087WTB5,physical,STAT3,P40763,BIOGRID
388,THBS3,F5H4Z8,physical,TUBA4A,P68366,BIOGRID
389,CDC73,Q6P1J9,physical,CALR,P27797,BIOGRID
390,HNRNPM,P52272,physical,LMNA,P02545,BIOGRID
391,USP13,A0A0A6YZ17,physical,STAT1,P42224,BIOGRID
392,HUWE1,A0A024R9W5,physical,CALR,P27797,BIOGRID
393,BRCA1,A0A024R1V0,physical,STAT1,P42224,BIOGRID
394,MAP3K8,P41279,physical,MAP2K1,A4QPA9,BIOGRID
395,MAP3K7,O43318,physical,MAP2K4,P45985,BIOGRID
397,PPP1R8,Q12972,physical,RBBP4,Q09028,BIOGRID
398,E2F1,Q01094,physical,RBBP4,Q09028,BIOGRID
400,nef,P04601,physical,SQSTM1,Q13501,BIOGRID
401,LMNA,P02545,physical,CD2AP,Q9Y5K6,BIOGRID
402,AURKC,Q9UQB9,physical,FKBP5,Q13451,BIOGRID
403,TTC5,Q86T04,physical,TUBA4A,P68366,BIOGRID
404,MAP2K4,P45985,physical,MAP3K4,J3KNB8,BIOGRID
405,TMOD3,Q9NYL9,physical,ENAH,Q8N8S7,BIOGRID
406,SQSTM1,Q13501,physical,RRAGB,Q5VZM2,BIOGRID
407,EPHA2,A0A024QZA8,physical,NDUFA13,Q9P0J0,BIOGRID
409,MAP3K8,P41279,physical,MAP2K4,P45985,BIOGRID
411,STAT3,P40763,physical,SP1,P08047,BIOGRID
412,LMNA,P02545,physical,HCFC1,A6NEM2,BIOGRID
414,CDK2,A0A024RB10,physical,SORT1,Q99523,BIOGRID
415,Cenpe,E9QKK1,physical,LMNA,P02545,BIOGRID
416,SPI1,P17947,physical,DNMT3A,A0A0C4DG02,BIOGRID
417,XPO1,B3KWD0,physical,TUBA4A,P68366,BIOGRID
418,NFKB1,A0A024RDJ4,physical,MAP3K8,P41279,BIOGRID
419,L1CAM,P32004,physical,ITGAV,P06756,BIOGRID
420,GGA1,Q9UJY5,physical,GGA2,Q9UJY4,BIOGRID
421,SORT1,Q99523,physical,GGA2,Q9UJY4,BIOGRID
423,SQSTM1,Q13501,physical,MAPK14,A0A024RD15,BIOGRID
424,RALGDS,Q12967,physical,RAP2A,P10114,BIOGRID
425,CDH1,A0A0U2ZQU7,physical,ANXA4,P09525,BIOGRID
428,HIST1H3A,P68431,physical,RBBP4,Q09028,BIOGRID
429,ITGAV,P06756,physical,ITGA4,P13612,BIOGRID
430,STAT3,P40763,physical,NFKB2,Q00653,BIOGRID
432,NDUFA13,Q9P0J0,physical,ACAD9,Q9H845,BIOGRID
434,EIF2AK2,P19525,physical,GLTSCR2,Q9NZM5,BIOGRID
435,SQSTM1,Q13501,physical,SERPINA1,E9KL23,BIOGRID
436,STAT3,P40763,physical,CA8,P35219,BIOGRID
437,BMX,P51813,physical,STAT3,P40763,BIOGRID
438,NYX,Q9GZU5,physical,TUBA4A,P68366,BIOGRID
439,MAST3,O60307,physical,LMNA,P02545,BIOGRID
440,CDC20,Q12834,physical,TUBA4A,P68366,BIOGRID
441,FBXW5,A0A024R8H7,physical,SKP1,P63208,BIOGRID
444,HIST3H3,Q16695,physical,RBBP4,Q09028,BIOGRID
445,AURKC,Q9UQB9,physical,MYH1,P12882,BIOGRID
447,NUAK1,A0A024RBL3,physical,SKP1,P63208,BIOGRID
449,RB1,A0A024RDV3,physical,RBBP4,Q09028,BIOGRID
450,SQSTM1,Q13501,physical,NDUFS2,B7Z792,BIOGRID
451,EGFR,B7Z2I3,physical,BCCIP,Q9P287,BIOGRID
452,TUBA4A,P68366,physical,PRPS1,B7ZB02,BIOGRID
453,RAP2A,P10114,physical,FKBP2,P26885,BIOGRID
454,GNL3,Q9BVP2,physical,STAT3,P40763,BIOGRID
455,MUC20,A0A0G2JN31,physical,TUBA4A,P68366,BIOGRID
457,TUBA4A,P68366,physical,RPS27A,B2RDW1,BIOGRID
458,LMNA,P02545,physical,CRKL,P46109,BIOGRID
459,EIF2AK2,P19525,physical,CCDC124,A0A024R7M8,BIOGRID
